C_END
2778 0020 0024  2456625.247581    18.58   -65.44    12.23   -50.17   -25.97
2778 0020 0024  2456625.247581    21.45   -65.44    12.01  -103.47   -25.97
2778 0020 0024  2456625.247581    26.70   -65.44    11.69   -97.20   -25.97
2778 0020 0024  2456625.247581    29.77   -60.00    11.50   -24.11     0.00
2778 0020 0024  2456625.247581    31.70   -65.38    11.37   -97.20   -22.26
2778 0020 0024  2456625.247581    32.52   -60.25    11.31   -90.88   -14.84
2778 0020 0024  2456625.247581   337.58   -35.25    14.95  -145.85   -14.84
2778 0020 0024  2456625.247581   342.58   -35.25    14.63  -145.85   -14.84
2778 0020 0024  2456625.247581   351.08   -60.38    14.05  -133.54   -22.26
2778 0020 0024  2456625.247581   351.33   -55.75    14.03  -144.68   -44.51
2778 0020 0024  2456625.247581     3.71   -44.94    13.21   -78.69     3.71
2778 0020 0024  2456625.247581     7.02   -45.12    13.02  -149.51    -7.42
2778 0020 0024  2456625.247581     7.21   -65.44    12.96   -84.65   -25.97
2778 0020 0024  2456625.247581     7.71   -55.06    12.95   -97.87    -3.71
2778 0024 0028  2456625.289248     0.20   -45.81    13.46   -98.09     5.19
2778 0024 0028  2456625.289248    20.83   -65.41    12.06   -43.07     5.19
2778 0024 0028  2456625.289248    24.20   -65.67    11.84   -83.07   -10.39
2778 0024 0028  2456625.289248   344.83   -60.52    14.50   -80.12     5.19
2778 0024 0028  2456625.289248   344.95   -55.79    14.49   -87.80    -5.19
2778 0024 0028  2456625.289248   350.08   -45.90    14.13  -103.26     0.00
2778 0024 0028  2456625.289248   350.70   -41.35    14.11   -83.99   -20.77
2778 0024 0028  2456625.289248   354.70   -60.42    13.84   -83.76    10.39
2778 0024 0028  2456625.289248   356.20   -41.26    13.68   -61.59   -15.58
2778 0024 0028  2456625.289248   359.70   -41.26    13.46  -128.78   -15.58
2778 0024 0028  2456625.289248     4.71   -41.27    13.16  -128.78   -15.58
2778 0024 0028  2456625.289248     5.21   -45.81    13.13   -98.09     5.19
