C_END
2780 0000 0004  2456627.050509    15.31   -60.60    12.82   -40.79     0.00
2780 0000 0004  2456627.050509   331.12   -50.97    15.79   -55.80   -10.39
2780 0000 0004  2456627.050509   339.26   -55.53    15.21  -105.35    10.39
2780 0000 0004  2456627.050509   340.58   -50.88    15.11   -68.93    -5.19
2780 0000 0004  2456627.050509   344.25   -55.53    14.89  -102.43    10.39
2780 0000 0004  2456627.050509   348.19   -55.44    14.62  -134.62    15.58
2780 0000 0004  2456627.050509   350.38   -70.40    14.47   -36.58     0.00
2780 0000 0004  2456627.050509   351.07   -50.88    14.45   -42.67    -5.19
2780 0000 0004  2456627.050509   355.45   -50.88    14.12   -62.36    -5.19
2780 0000 0004  2456627.050509    48.38   -60.60    10.61   -76.48     0.00
2780 0000 0004  2456627.050509    53.19   -60.69    10.27   -79.03    -5.19
2780 0000 0004  2456627.050509    54.69   -70.14    10.18   -24.39    15.58
2780 0000 0004  2456627.050509    58.53   -65.41     9.93   -55.99     5.19
2780 0000 0004  2456627.050509    59.59   -70.14     9.88   -24.39    15.58
2780 0000 0004  2456627.050509     9.54   -50.72    13.20   -85.34     5.19
2780 0004 0008  2456627.092176    13.30   -50.97    12.96  -128.01   -10.39
2780 0004 0008  2456627.092176    20.56   -60.60    12.48   -30.59     0.00
2780 0004 0008  2456627.092176    20.65   -55.79    12.47   -32.19    -5.19
2780 0004 0008  2456627.092176    26.07   -65.41    12.14   -10.77     5.19
2780 0004 0008  2456627.092176   331.12   -55.79    15.79   -49.75    -5.19
2780 0004 0008  2456627.092176   331.56   -50.97    15.73   -39.39   -10.39
2780 0004 0008  2456627.092176   334.79   -45.64    15.50  -112.03    15.58
2780 0004 0008  2456627.092176   336.11   -55.88    15.43   -46.82   -10.39
2780 0004 0008  2456627.092176   340.13   -45.90    15.18   -93.96     0.00
2780 0004 0008  2456627.092176   340.93   -55.88    15.13   -49.75   -10.39
2780 0004 0008  2456627.092176   341.19   -51.15    15.11   -45.95   -20.77
2780 0004 0008  2456627.092176     3.41   -55.70    13.61  -117.06     0.00
2780 0004 0008  2456627.092176   345.56   -55.88    14.80   -58.53   -10.39
2780 0004 0008  2456627.092176   345.74   -50.88    14.80   -59.08    -5.19
2780 0004 0008  2456627.092176   350.46   -55.88    14.48   -58.53   -10.39
2780 0004 0008  2456627.092176   350.63   -50.88    14.47   -59.08    -5.19
2780 0004 0008  2456627.092176   354.31   -50.80    14.22  -105.03     0.00
2780 0004 0008  2456627.092176    35.44   -65.41    11.47   -21.54     5.19
