C_END
2782 0008 0012  2456628.992338     0.85   -50.80    14.17   -95.19     0.00
2782 0008 0012  2456628.992338     1.19   -55.79    14.16   -73.16    -5.19
2782 0008 0012  2456628.992338    17.75   -75.38    13.07   -64.90   -22.26
2782 0008 0012  2456628.992338    21.05   -45.98    12.82   -79.51    -5.19
2782 0008 0012  2456628.992338    25.71   -75.12    12.48   -22.47    -7.42
2782 0008 0012  2456628.992338    25.95   -45.98    12.48   -79.51    -5.19
2782 0008 0012  2456628.992338     2.86   -50.97    14.06  -203.50   -10.39
2782 0008 0012  2456628.992338    29.78   -70.00    12.27   -52.78     0.00
2782 0008 0012  2456628.992338    33.30   -65.77    11.98  -107.68   -15.58
2782 0008 0012  2456628.992338    35.31   -45.98    11.86   -97.58    -5.19
2782 0008 0012  2456628.992338   354.63   -46.25    14.58  -159.02   -20.77
2782 0008 0012  2456628.992338    35.47   -75.12    11.88   -32.45    -7.42
2782 0008 0012  2456628.992338   356.03   -41.00    14.48  -109.74     0.00
2782 0008 0012  2456628.992338   356.30   -50.80    14.47   -82.06     0.00
2782 0008 0012  2456628.992338   359.53   -41.35    14.27  -172.45   -20.77
2782 0008 0012  2456628.992338   359.62   -46.42    14.24  -155.40   -31.16
2782 0008 0012  2456628.992338    36.63   -41.00    11.79   -47.03     0.00
2782 0008 0012  2456628.992338     3.90   -55.97    13.99  -146.33   -15.58
2782 0008 0012  2456628.992338    41.18   -51.15    11.50   -52.52   -20.77
2782 0008 0012  2456628.992338    41.53   -41.00    11.45   -47.03     0.00
2782 0008 0012  2456628.992338    42.13   -70.00    11.41   -13.19     0.00
2782 0008 0012  2456628.992338    46.43   -41.00    11.14   -47.03     0.00
2782 0008 0012  2456628.992338    46.84   -70.12    11.05   -23.09    -7.42
2782 0008 0012  2456628.992338    49.76   -41.17    10.89  -117.58   -10.39
2782 0008 0012  2456628.992338    60.08   -41.09    10.21   -94.06    -5.19
2782 0008 0012  2456628.992338    60.17   -36.45    10.20   -96.51   -20.77
2782 0008 0012  2456628.992338    65.68   -36.10     9.86   -67.14     0.00
2782 0008 0012  2456628.992338    75.04   -40.91     9.21   -82.31     5.19
2782 0008 0012  2456628.992338    75.66   -65.33     9.21   -30.15    10.39
2782 0012 0016  2456629.034005    14.40   -50.97    13.26  -137.85   -10.39
2782 0012 0016  2456629.034005    19.04   -51.06    12.96  -147.70   -15.58
2782 0012 0016  2456629.034005     2.42   -50.62    14.09   -36.10    10.39
2782 0012 0016  2456629.034005    24.74   -75.38    12.56   -37.44   -22.26
2782 0012 0016  2456629.034005    29.94   -70.38    12.23   -49.48   -22.26
2782 0012 0016  2456629.034005    31.47   -50.80    12.12   -49.23     0.00
2782 0012 0016  2456629.034005   350.69   -41.44    14.84  -129.34   -25.97
2782 0012 0016  2456629.034005    35.14   -70.38    11.91   -49.48   -22.26
2782 0012 0016  2456629.034005   355.59   -36.45    14.53  -138.47   -20.77
2782 0012 0016  2456629.034005   355.94   -46.25    14.50  -104.81   -20.77
2782 0012 0016  2456629.034005   359.36   -41.52    14.29  -180.29   -31.16
2782 0012 0016  2456629.034005    35.95   -75.25    11.85   -24.96   -14.84
2782 0012 0016  2456629.034005    36.02   -41.26    11.82   -74.47   -15.58
2782 0012 0016  2456629.034005    41.18   -41.00    11.50   -62.71     0.00
2782 0012 0016  2456629.034005    46.34   -41.17    11.17   -50.95   -10.39
2782 0012 0016  2456629.034005     4.78   -51.15    13.91  -131.29   -20.77
2782 0012 0016  2456629.034005    51.24   -41.17    10.85   -50.95   -10.39
2782 0012 0016  2456629.034005    60.86   -41.09    10.18   -58.79    -5.19
2782 0012 0016  2456629.034005     6.09   -41.27    13.85   -97.98   -15.58
2782 0012 0016  2456629.034005    61.56   -65.50    10.14   -15.08     0.00
2782 0012 0016  2456629.034005    64.72   -36.37     9.93  -113.29   -15.58
2782 0012 0016  2456629.034005    65.16   -45.90     9.89   -79.51     0.00
2782 0012 0016  2456629.034005    66.47   -65.50     9.83   -15.08     0.00
2782 0012 0016  2456629.034005    69.97   -36.28     9.57   -96.51   -10.39
2782 0012 0016  2456629.034005    70.32   -55.79     9.52   -55.60    -5.19
2782 0012 0016  2456629.034005    70.67   -60.60     9.54   -38.24     0.00
2782 0012 0016  2456629.034005    70.84   -65.50     9.50   -28.00     0.00
2782 0016 0020  2456629.075671     0.50   -50.80    14.22  -108.31     0.00
2782 0016 0020  2456629.075671    10.12   -75.00    13.55   -22.47     0.00
2782 0016 0020  2456629.075671     1.10   -45.90    14.16   -93.96     0.00
2782 0016 0020  2456629.075671    12.71   -75.38    13.44   -62.40   -22.26
2782 0016 0020  2456629.075671    15.19   -50.88    13.25  -108.31    -5.19
2782 0016 0020  2456629.075671    19.22   -75.12    12.96   -42.44    -7.42
2782 0016 0020  2456629.075671    20.53   -50.80    12.89   -91.90     0.00
2782 0016 0020  2456629.075671    24.74   -75.12    12.55   -37.44    -7.42
2782 0016 0020  2456629.075671    29.98   -45.98    12.25  -115.65    -5.19
2782 0016 0020  2456629.075671    34.18   -41.44    11.98  -156.77   -25.97
2782 0016 0020  2456629.075671    34.53   -45.98    11.95  -130.10    -5.19
2782 0016 0020  2456629.075671   351.22   -45.90    14.81   -97.58     0.00
2782 0016 0020  2456629.075671   355.42   -50.80    14.57  -114.88     0.00
2782 0016 0020  2456629.075671   355.86   -46.08    14.50  -108.42   -10.39
