C_END
2804 0024 0032  2456651.058067   100.16   -55.70    12.09   -49.75     0.00
2804 0024 0032  2456651.058067   100.16   -60.52    12.12   -43.34     5.19
2804 0024 0032  2456651.058067   103.74   -41.00    11.86  -125.42     0.00
2804 0024 0032  2456651.058067   103.83   -70.40    11.82   -54.00     0.00
2804 0024 0032  2456651.058067   103.92   -65.50    11.85   -64.61     0.00
2804 0024 0032  2456651.058067   104.27   -45.90    11.84   -93.96     0.00
2804 0024 0032  2456651.058067   107.67   -46.16    11.59  -155.40   -15.58
2804 0024 0032  2456651.058067   108.56   -41.09    11.52  -129.34    -5.19
2804 0024 0032  2456651.058067   108.91   -65.50    11.54   -62.45     0.00
2804 0024 0032  2456651.058067   108.91   -70.40    11.54   -50.52     0.00
2804 0024 0032  2456651.058067   112.41   -65.67    11.29   -96.91   -10.39
2804 0024 0032  2456651.058067   113.62   -60.69    11.18   -79.03    -5.19
2804 0024 0032  2456651.058067   113.97   -70.40    11.15   -47.04     0.00
2804 0024 0032  2456651.058067   119.49   -70.31    10.81   -34.84     5.19
2804 0024 0032  2456651.058067   121.85   -60.95    10.64  -124.92   -20.77
2804 0024 0032  2456651.058067   124.39   -65.50    10.49   -43.07     0.00
2804 0024 0032  2456651.058067   125.09   -70.31    10.44   -20.90     5.19
2804 0024 0032  2456651.058067   128.41   -60.69    10.21   -76.48    -5.19
2804 0024 0032  2456651.058067   129.29   -65.41    10.15   -43.07     5.19
2804 0024 0032  2456651.058067   129.29   -70.31    10.15   -34.84     5.19
2804 0024 0032  2456651.058067   129.81   -75.38    10.12   -18.45    -5.19
2804 0024 0032  2456651.058067   134.01   -60.69     9.83   -56.09    -5.19
2804 0024 0032  2456651.058067   134.01   -75.38     9.81   -28.99    -5.19
2804 0024 0032  2456651.058067   134.19   -65.41     9.83   -43.07     5.19
2804 0024 0032  2456651.058067   134.19   -70.31     9.84   -34.84     5.19
2804 0024 0032  2456651.058067   134.62   -40.73     9.80   -58.79    15.58
2804 0024 0032  2456651.058067   138.74   -75.12     9.52   -31.63    10.39
2804 0024 0032  2456651.058067   139.00   -70.49     9.51   -36.58    -5.19
