 
 File: /Users/maarten/Science/Venus/Temperature-UV_Analysis_2024/Analysis/VMC/Step04/thermalTideCorrection.dat
 Created at 2024-06-11 at 14:13:36
 
 Figure 5a from Akiba, M. et al. (2021). "Thermal tides in the upper cloud layer of Venus as deduced from the emission angle dependence of the brightness temperature by Akatsuki/ LIR."
  Journal of Geophysical Research: Planets, 126, e2020JE006808. https:// doi.org/10.1029/2020JE006808
 Zenodo repository at doi.org/10.5281/zenodo.5159027 (figure5)
 
 LST = Local Solar Time 
 
 The thermal tide file corresponding to Figure 5a is  temp_devi_contour_lt_to_lat_distributions_at_constant_altitude_each_value_whole_wider_period.dat  and 
  has been created using the script  /Users/maarten/Science/Venus/Temperature-UV_Analysis_2024/Analysis/VMC/Step04/scripts/createTable_ThermalTide_Akiba2021_Figure5.py

 The thermal tide amplitude (dT_tide) is calculated by linear interpolation first in latitude and next in Local Solar Time. 
 
 Orbit      lat     Local Solar Time   T_VeRa   dT_VeRa    dT_tide 
            (˚)            (h)           (K)      (K)        (K) 
C_END
 0260     -60.30          7.610        229.24    0.761   -1.845735
 0268     -36.13          7.740        222.11    0.650    1.049965
 0270     -29.72          7.770        231.92    0.729    1.132367
 0272     -23.09          7.810        225.26    0.838    1.297058
 0422     -26.17         12.290        222.11    0.696   -0.523254
 0424     -20.02         12.410        219.69    0.924   -0.664713
 0427     -10.45         12.580        221.33    1.130   -0.629103
 0642     -40.25         14.790        231.68    1.155   -0.605575
 0643     -43.37         14.820        231.46    1.523   -0.648671
 0644     -46.47         14.850        231.34      nan   -0.720760
 0959     -69.71         10.850        235.43    0.838    0.922850
 0961     -63.85         10.830        232.47    2.714    0.900678
 0963     -57.92         10.840        230.23    1.073    1.224163
 0965     -51.91         10.850        225.63    1.769    0.819115
 0967     -45.82         10.880        216.79    1.051    0.567486
 0969     -39.64         10.920        224.28    2.365    0.110090
 0971     -33.32         10.960        221.28    1.922    0.035198
 1191     -15.33         13.700        229.62    2.264   -0.860178
 1193     -22.69         13.760        230.72    1.887   -0.778994
 1201     -49.75         13.980        222.12    0.144   -0.382723
 1204     -59.27         14.070        226.34    0.669    2.092712
 1207     -68.58         14.170        232.64    1.226    2.395955
 1513     -67.48          9.340        226.92    0.498   -0.680655
 1521     -43.80          9.850        221.82    0.266    0.691719
 1748     -33.07         13.020        235.11    1.352   -0.697042
 1753     -49.58         13.250        235.38    0.405    0.134680
 1758     -65.56         13.550        245.38    0.150    2.370234
 1901     -50.05         17.020        230.71    0.082    0.651840
 2063     -76.89          9.120        235.84    0.444   -0.901053
 2065     -69.67          9.060        239.18    0.794   -0.961161
 2068     -58.62          9.060        231.32    0.900   -0.547870
 2069     -54.87          9.060        234.41    0.677   -0.156590
 2071     -47.24          9.080        224.41    0.337    0.322327
 2072     -43.35          9.090        228.10    0.206    0.597756
 2074     -35.38          9.120        227.95    1.352    1.003818
 2300     -48.63         11.480        219.28    1.268    0.560597
 2452     -22.44         16.230        229.67    1.991    0.118388
 2453     -26.98         16.250        231.83    1.229   -0.002173
 2454     -31.40         16.280        233.64    1.556   -0.202340
 2456     -39.95         16.320        228.83    1.887   -0.122668
 2460     -56.21         16.420        232.77    1.699    1.682065
 2630     -47.72          8.300        229.88    0.663   -0.040833
 2638     -25.16          8.600        233.58    0.365    1.272061
 2776     -83.80         14.900        231.96    1.255    2.187628
 2777     -81.74         14.430        236.00    0.423    2.321757
 2778     -79.60         14.210        236.84    0.416    2.384540
 2779     -77.45         14.080        234.52    1.549    2.421640
 2780     -75.33         14.010        229.87    0.305    2.441616
 2781     -73.26         13.990        234.81    0.837    2.442820
 2782     -71.24         13.970        236.09    0.299    2.439521
 2783     -69.28         13.990        232.08    0.557    2.442820
 2784     -67.40         14.010        231.73    0.307    2.441616
 2785     -65.57         14.050        232.12    1.944    2.430201
 2786     -63.84         14.080        233.39    0.522    2.421640
 2787     -62.19         14.120        223.43    0.399    2.377717
 2790     -57.81         14.290        226.50    0.849    1.835699
 2792     -55.40         14.410        228.10    1.103    0.968259
 2793     -54.37         14.480        227.04    0.365    0.579699
 2794     -53.45         14.550        227.98    0.897    0.246553
 2795     -52.65         14.620        224.18    0.255   -0.030421
 2796     -51.99         14.700        231.17    0.244   -0.141616
 2797     -51.45         14.780        225.46    0.296   -0.209101
 2798     -51.05         14.860        223.37    0.882   -0.261452
 2802     -50.77         15.210        221.80    1.070   -0.175854
 2803     -51.05         15.300        229.25    1.121   -0.080859
 2804     -51.47         15.400        227.34    1.262    0.042271
 2805     -52.02         15.490        222.15    0.416    0.180743
 2806     -52.72         15.590        224.87    0.461    0.378617
 2807     -53.53         15.690        221.82    1.279    0.666688
 2808     -54.48         15.780        229.72    0.337    0.983096
 2809     -55.54         15.880        224.69    0.469    1.330041
 2810     -56.73         15.980        229.61    1.571    1.706044
 2811     -58.03         16.070        227.96    0.680    2.011265
