
File produced by vmc_phase_angle_analysis.pro  (v20151021)

   ID    pa(˚) d_pa(˚)  B   dB   ia(˚) d_ia(˚)  ea(˚) d_ea()
C_END
    424    72.30  3.1249   0.435  0.0122   52.23  17.26   40.32  19.70
    424    72.27  3.1366   0.433  0.0119   52.13  17.23   40.27  19.68
    424    72.23  3.1486   0.432  0.0118   52.03  17.21   40.24  19.67
    424    71.98  3.2425   0.423  0.0109   51.27  17.03   39.93  19.58
    424    71.96  3.2515   0.422  0.0106   51.20  17.02   39.89  19.57
    424    71.93  3.2610   0.421  0.0108   51.13  17.00   39.86  19.56
    424    71.91  3.2706   0.421  0.0107   51.05  16.99   39.83  19.56
    424    71.89  3.2801   0.420  0.0108   50.98  16.97   39.80  19.55
    424    72.33  3.0018   0.449  0.0188   46.60  15.32   41.33  19.37
    424    72.31  3.0126   0.449  0.0185   46.54  15.31   41.31  19.37
    424    72.29  3.0234   0.448  0.0183   46.48  15.30   41.28  19.36
    424    72.26  3.0342   0.448  0.0181   46.42  15.29   41.24  19.35
    424    72.24  3.0453   0.447  0.0179   46.36  15.28   41.21  19.35
    424    72.13  3.0948   0.445  0.0174   46.10  15.24   41.08  19.33
    424    72.11  3.1066   0.444  0.0171   46.03  15.23   41.04  19.32
    424    72.09  3.1184   0.443  0.0170   45.97  15.22   41.01  19.32
    424    72.06  3.1305   0.442  0.0169   45.91  15.21   40.98  19.32
    424    72.04  3.1424   0.441  0.0169   45.85  15.20   40.94  19.31
    424    71.93  3.1965   0.438  0.0161   45.58  15.16   40.79  19.28
    424    71.91  3.2094   0.437  0.0154   45.52  15.15   40.76  19.28
    424    71.88  3.2225   0.436  0.0150   45.46  15.14   40.73  19.28
    424    71.86  3.2354   0.435  0.0148   45.39  15.13   40.69  19.27
    424    71.84  3.2487   0.434  0.0144   45.33  15.12   40.65  19.26
    424    71.73  3.3079   0.431  0.0128   45.06  15.08   40.50  19.25
    424    71.71  3.3221   0.430  0.0126   44.99  15.07   40.46  19.25
    424    71.69  3.3367   0.430  0.0122   44.93  15.06   40.43  19.24
    424    71.66  3.3510   0.429  0.0119   44.87  15.05   40.39  19.24
    424    71.64  3.3653   0.428  0.0116   44.80  15.04   40.35  19.23
    424    71.54  3.4312   0.425  0.0107   44.52  15.01   40.19  19.22
    424    71.51  3.4463   0.424  0.0105   44.46  15.00   40.15  19.22
    424    71.49  3.4626   0.424  0.0105   44.39  14.99   40.12  19.22
    424    71.47  3.4785   0.423  0.0101   44.33  14.98   40.08  19.22
    424    71.44  3.4941   0.422  0.0100   44.27  14.97   40.04  19.21
    424    71.34  3.5669   0.419  0.0100   43.98  14.94   39.87  19.21
    424    71.32  3.5841   0.418  0.0099   43.92  14.93   39.83  19.21
    424    71.30  3.6018   0.417  0.0097   43.85  14.92   39.80  19.21
    424    71.27  3.6191   0.416  0.0098   43.79  14.91   39.76  19.21
    424    71.25  3.6371   0.415  0.0097   43.72  14.90   39.72  19.21
    424    71.16  3.7175   0.411  0.0108   43.44  14.87   39.55  19.21
    424    71.13  3.7364   0.409  0.0111   43.37  14.86   39.50  19.21
    424    71.11  3.7560   0.408  0.0118   43.31  14.85   39.46  19.21
    424    71.09  3.7757   0.407  0.0122   43.24  14.85   39.43  19.21
    424    71.07  3.7953   0.405  0.0126   43.18  14.84   39.38  19.21
    424    70.98  3.8851   0.400  0.0139   42.89  14.80   39.21  19.22
    424    70.96  3.9066   0.398  0.0138   42.82  14.80   39.17  19.23
    424    70.94  3.9282   0.397  0.0139   42.76  14.79   39.13  19.23
    424    70.92  3.9501   0.396  0.0139   42.69  14.78   39.09  19.23
    424    70.90  3.9721   0.395  0.0138   42.63  14.77   39.05  19.23
    424    70.82  4.0726   0.389  0.0127   42.35  14.74   38.87  19.25
    424    70.80  4.0965   0.387  0.0124   42.28  14.73   38.83  19.25
    424    70.79  4.1209   0.385  0.0119   42.22  14.72   38.79  19.26
    424    70.77  4.1452   0.384  0.0107   42.15  14.71   38.74  19.26
    424    70.75  4.1701   0.382  0.0104   42.09  14.71   38.70  19.26
    424    70.67  4.2800   0.375  0.0100   41.83  14.68   38.43  19.21
    427    72.33  2.7067   0.451  0.0301   58.54  19.92   41.25  19.98
    427    72.28  2.7163   0.450  0.0301   58.52  19.91   41.24  19.97
    427    72.22  2.7271   0.450  0.0294   58.51  19.92   41.25  19.98
    427    72.17  2.7374   0.450  0.0296   58.49  19.92   41.24  19.96
    427    72.12  2.7477   0.451  0.0297   58.48  19.93   41.24  19.96
    427    71.56  2.8623   0.452  0.0277   58.34  19.97   41.22  19.92
    427    71.50  2.8739   0.453  0.0277   58.33  19.96   41.21  19.91
    427    71.44  2.8863   0.453  0.0272   58.31  19.97   41.22  19.91
    427    71.39  2.8982   0.452  0.0266   58.30  19.98   41.22  19.91
    427    71.33  2.9103   0.453  0.0265   58.29  19.97   41.20  19.89
    427    70.73  3.0445   0.452  0.0227   58.13  20.01   41.20  19.86
    427    70.67  3.0578   0.452  0.0224   58.11  20.02   41.20  19.85
    427    70.60  3.0722   0.453  0.0220   58.11  20.02   41.20  19.85
    427    70.54  3.0861   0.453  0.0218   58.09  20.02   41.19  19.84
    427    70.48  3.1001   0.452  0.0207   58.07  20.02   41.19  19.83
    427    70.13  3.1832   0.454  0.0200   57.98  20.04   41.19  19.80
    427    70.08  3.1965   0.454  0.0197   57.97  20.05   41.19  19.81
    427    70.03  3.2088   0.455  0.0199   57.96  20.05   41.19  19.80
    427    69.97  3.2226   0.455  0.0198   57.95  20.05   41.19  19.79
    427    69.92  3.2362   0.455  0.0202   57.93  20.05   41.18  19.78
    427    69.51  3.3427   0.456  0.0200   57.76  20.05   41.07  19.65
    427    69.46  3.3590   0.458  0.0200   57.72  20.05   41.04  19.62
    427    69.40  3.3747   0.457  0.0197   57.69  20.05   41.00  19.59
    427    69.35  3.3908   0.459  0.0197   57.65  20.05   40.96  19.55
    427    69.29  3.4078   0.460  0.0198   57.61  20.05   40.91  19.51
    427    69.95  2.9823   0.502  0.0278   51.31  17.38   40.77  19.85
    427    69.90  2.9919   0.502  0.0277   51.21  17.35   40.74  19.84
    427    69.86  3.0016   0.501  0.0273   51.11  17.32   40.71  19.83
    427    69.82  3.0111   0.500  0.0275   51.01  17.29   40.68  19.81
