 
 File: PhaseCurve.dat
 Created at 2024-06-03 at 16:27:14
 
 RF = Radiance Factor
 dAverage RF = Standard deviation of average RF
 
 Radiance Scaling Factor from image header label RADIANCE_SCALING_FACTOR
 
 Incidence angle < 89˚
 Emission angle < 90˚
 
 Iterative removal of outliers at the 3-sigma level with a > 1% change in average value
 Note: median values are calculated after iterative outlier removal!

 73 orbits with a total of 1374 images
 
    Image          phase angle   Average RF  dAverage RF     Q1 RF  Median RF  Q3 RF   # iterations   Radiance Scaling Factor    # valid data points
                       (˚)                                                                              W/m2/ster/micron/DN
C_END
 V2785_0076_UV2       65.19         0.540      0.1425        0.421    0.504    0.633        2               0.07738                       72204
 V2782_0060_UV2       66.25         0.577      0.1102        0.491    0.553    0.662        3               0.07738                       72458
 V2782_0064_UV2       66.71         0.583      0.1141        0.494    0.558    0.671        3               0.07738                       71180
 V0427_0132_UV2       66.88         0.630      0.1724        0.489    0.593    0.746        1               0.09673                      164393
 V0427_0131_UV2       66.91         0.629      0.1745        0.488    0.593    0.748        1               0.09673                      163296
 V0427_0130_UV2       66.94         0.631      0.1760        0.489    0.596    0.752        1               0.09673                      162214
 V0427_0129_UV2       66.97         0.632      0.1772        0.490    0.598    0.754        1               0.09673                      161177
 V0427_0128_UV2       67.00         0.633      0.1782        0.491    0.600    0.756        1               0.09673                      160161
 V0427_0124_UV2       67.14         0.639      0.1820        0.494    0.608    0.766        1               0.09673                      155836
 V0427_0123_UV2       67.17         0.641      0.1830        0.494    0.610    0.768        1               0.09673                      154837
 V0427_0122_UV2       67.20         0.642      0.1838        0.495    0.611    0.770        1               0.09673                      153847
 V0427_0121_UV2       67.23         0.644      0.1845        0.495    0.613    0.772        1               0.09673                      152911
 V0427_0120_UV2       67.26         0.645      0.1851        0.496    0.615    0.774        1               0.09673                      151943
 V2782_0068_UV2       67.32         0.581      0.1157        0.489    0.556    0.671        3               0.07738                       69951
 V0427_0116_UV2       67.40         0.652      0.1881        0.497    0.623    0.783        1               0.09673                      148003
 V0427_0115_UV2       67.43         0.653      0.1885        0.498    0.625    0.786        1               0.09673                      147158
 V0427_0114_UV2       67.46         0.655      0.1891        0.498    0.627    0.788        1               0.09673                      146283
 V0427_0113_UV2       67.50         0.656      0.1897        0.499    0.628    0.790        1               0.09673                      145466
 V0427_0112_UV2       67.53         0.658      0.1901        0.499    0.629    0.792        1               0.09673                      144636
 V2781_0052_UV2       67.64         0.588      0.0995        0.513    0.583    0.648        3               0.07738                       69800
 V0427_0108_UV2       67.67         0.665      0.1920        0.502    0.637    0.802        1               0.09673                      141137
 V0427_0107_UV2       67.70         0.667      0.1926        0.503    0.639    0.804        1               0.09673                      140406
 V0427_0106_UV2       67.74         0.668      0.1927        0.504    0.640    0.806        1               0.09673                      139615
 V0427_0105_UV2       67.77         0.669      0.1931        0.505    0.642    0.808        1               0.09673                      138875
