
 File: PhaseCurveFit_i<84_e<81.dat
 Created at 2024-11-09 at 16:53:08
 Created with CreateTable_PhaseCurveFit.py

  RF (pa)= 0.000179 * pa^2 + -0.0222 * pa +   1.189  |  r^2 = 0.960 (pa = phase angle in ˚)

  RF (Fit) = Radiance Factor as fit with the quadratic model above
  RF (Average) = average Radiance Factor from 1000 gaussian noise experiments
  dRF = standard deviation of the Radiance Factor from 1000 gaussian noise experiments
  MaxMin RF = (maximum - minimum) / 2  of the Radiance Factor from 1000 Gaussian noise experiments

   phase angle   RF (Fit)  RF (Average)   dRF     MaxMin RF
       (˚)
C_END
      27.0        0.719       0.716      0.0342    0.1167 
      28.0        0.707       0.704      0.0329    0.1119 
      29.0        0.695       0.692      0.0316    0.1072 
      30.0        0.683       0.681      0.0304    0.1026 
      31.0        0.672       0.669      0.0292    0.0981 
      32.0        0.661       0.659      0.0281    0.0937 
      33.0        0.650       0.648      0.0270    0.0893 
      34.0        0.640       0.638      0.0259    0.0850 
      35.0        0.630       0.628      0.0249    0.0813 
      36.0        0.621       0.619      0.0239    0.0779 
      37.0        0.612       0.610      0.0229    0.0745 
      38.0        0.603       0.601      0.0220    0.0718 
      39.0        0.594       0.593      0.0212    0.0692 
      40.0        0.586       0.585      0.0204    0.0667 
      41.0        0.579       0.577      0.0196    0.0642 
      42.0        0.571       0.570      0.0189    0.0617 
      43.0        0.564       0.563      0.0182    0.0593 
      44.0        0.558       0.556      0.0176    0.0569 
      45.0        0.551       0.550      0.0170    0.0546 
      46.0        0.545       0.544      0.0165    0.0523 
      47.0        0.540       0.539      0.0160    0.0501 
      48.0        0.534       0.534      0.0155    0.0479 
      49.0        0.530       0.529      0.0152    0.0457 
      50.0        0.525       0.524      0.0148    0.0436 
      51.0        0.521       0.520      0.0145    0.0422 
      52.0        0.517       0.517      0.0143    0.0414 
      53.0        0.514       0.513      0.0140    0.0413 
      54.0        0.511       0.510      0.0139    0.0412 
      55.0        0.508       0.508      0.0137    0.0410 
      56.0        0.506       0.505      0.0136    0.0409 
      57.0        0.504       0.503      0.0135    0.0406 
      58.0        0.502       0.502      0.0135    0.0404 
      59.0        0.501       0.500      0.0134    0.0401 
      60.0        0.500       0.500      0.0134    0.0399 
      61.0        0.499       0.499      0.0134    0.0395 
      62.0        0.499       0.499      0.0134    0.0392 
      63.0        0.499       0.499      0.0134    0.0389 
      64.0        0.499       0.500      0.0134    0.0389 
      65.0        0.500       0.501      0.0134    0.0388 
      66.0        0.502       0.502      0.0135    0.0387 
      67.0        0.503       0.503      0.0135    0.0390 
      68.0        0.505       0.505      0.0135    0.0393 
      69.0        0.507       0.508      0.0135    0.0396 
      70.0        0.510       0.510      0.0135    0.0397 
      71.0        0.513       0.513      0.0135    0.0399 
      72.0        0.516       0.517      0.0135    0.0399 
      73.0        0.520       0.521      0.0135    0.0400 
      74.0        0.524       0.525      0.0135    0.0401 
      75.0        0.529       0.529      0.0134    0.0402 
      76.0        0.533       0.534      0.0134    0.0402 
      77.0        0.539       0.539      0.0133    0.0402 
      78.0        0.544       0.545      0.0132    0.0401 
      79.0        0.550       0.551      0.0131    0.0400 
      80.0        0.556       0.557      0.0130    0.0398 
      81.0        0.563       0.563      0.0129    0.0395 
      82.0        0.570       0.570      0.0128    0.0393 
      83.0        0.577       0.578      0.0126    0.0389 
      84.0        0.585       0.585      0.0125    0.0386 
      85.0        0.593       0.593      0.0123    0.0384 
      86.0        0.601       0.602      0.0121    0.0380 
      87.0        0.610       0.611      0.0119    0.0377 
      88.0        0.619       0.620      0.0117    0.0372 
      89.0        0.628       0.629      0.0115    0.0367 
      90.0        0.638       0.639      0.0113    0.0362 
      91.0        0.648       0.649      0.0111    0.0358 
      92.0        0.659       0.660      0.0109    0.0352 
      93.0        0.670       0.670      0.0107    0.0347 
      94.0        0.681       0.682      0.0105    0.0341 
      95.0        0.692       0.693      0.0103    0.0334 
      96.0        0.704       0.705      0.0101    0.0328 
      97.0        0.717       0.717      0.0100    0.0320 
      98.0        0.729       0.730      0.0099    0.0313 
      99.0        0.742       0.743      0.0098    0.0304 
     100.0        0.756       0.756      0.0098    0.0296 
     101.0        0.769       0.770      0.0098    0.0288 
     102.0        0.784       0.784      0.0098    0.0291 
     103.0        0.798       0.799      0.0100    0.0303 
     104.0        0.813       0.813      0.0101    0.0315 
     105.0        0.828       0.829      0.0104    0.0328 
     106.0        0.844       0.844      0.0107    0.0341 
     107.0        0.859       0.860      0.0111    0.0354 
     108.0        0.876       0.876      0.0116    0.0376 
     109.0        0.892       0.893      0.0121    0.0398 
     110.0        0.909       0.910      0.0127    0.0422 
     111.0        0.927       0.927      0.0133    0.0445 
     112.0        0.944       0.945      0.0140    0.0470 
     113.0        0.962       0.963      0.0148    0.0496 
     114.0        0.981       0.981      0.0156    0.0528 
     115.0        0.999       1.000      0.0164    0.0561 
     116.0        1.019       1.019      0.0174    0.0594 
     117.0        1.038       1.038      0.0183    0.0629 
     118.0        1.058       1.058      0.0193    0.0664 
     119.0        1.078       1.078      0.0204    0.0700 
     120.0        1.099       1.098      0.0214    0.0736 
     121.0        1.119       1.119      0.0226    0.0774 
     122.0        1.141       1.140      0.0237    0.0812 
     123.0        1.162       1.162      0.0249    0.0851 
     124.0        1.184       1.184      0.0262    0.0891 
     125.0        1.207       1.206      0.0275    0.0931 
     126.0        1.229       1.229      0.0288    0.0972 
     127.0        1.252       1.252      0.0301    0.1014 
     128.0        1.276       1.275      0.0315    0.1057 
     129.0        1.299       1.299      0.0329    0.1100 
     130.0        1.324       1.323      0.0344    0.1144 
