
 File: PhaseCurve_i<84_e<81.dat
 Created at 2024-11-09 at 16:27:05
 Created with CreateTable_PhaseCurve.py

 RF = Radiance Factor
 dAverage RF = Standard deviation of average RF

 Radiance Scaling Factor from image header label RADIANCE_SCALING_FACTOR

 Incidence angle < 84˚
 Emission angle < 81˚

 Iterative removal of outliers at the 3-sigma level with a > 1% change in average value
 Note: median values are calculated after iterative outlier removal!

 73 orbits with a total of 1374 images

    Image          phase angle   Average RF  dAverage RF     Q1 RF  Median RF  Q3 RF   # iterations   Radiance Scaling Factor    # valid data points
                       (˚)                                                                              W/m2/ster/micron/DN
C_END
 V2785_0076_UV2       65.55         0.531      0.1334        0.418    0.495    0.623        1               0.07738                       67450
 V2782_0060_UV2       66.67         0.570      0.1041        0.488    0.548    0.653        2               0.07738                       66959
 V0427_0132_UV2       66.78         0.632      0.1721        0.490    0.595    0.749        1               0.09673                      162212
 V0427_0131_UV2       66.81         0.632      0.1730        0.491    0.596    0.751        1               0.09673                      161178
 V0427_0130_UV2       66.84         0.635      0.1743        0.492    0.599    0.755        1               0.09673                      160116
 V0427_0129_UV2       66.87         0.636      0.1752        0.493    0.602    0.757        1               0.09673                      159082
 V0427_0128_UV2       66.90         0.637      0.1761        0.494    0.603    0.759        1               0.09673                      158069
 V0427_0124_UV2       67.04         0.643      0.1795        0.497    0.611    0.768        1               0.09673                      153723
 V0427_0123_UV2       67.07         0.645      0.1803        0.497    0.613    0.770        1               0.09673                      152742
 V0427_0122_UV2       67.10         0.646      0.1809        0.497    0.615    0.773        1               0.09673                      151737
 V0427_0121_UV2       67.13         0.648      0.1816        0.498    0.617    0.775        1               0.09673                      150793
 V2782_0064_UV2       67.13         0.574      0.1067        0.490    0.552    0.661        2               0.07738                       65815
 V0427_0120_UV2       67.16         0.650      0.1822        0.498    0.619    0.777        1               0.09673                      149841
 V0427_0116_UV2       67.31         0.656      0.1849        0.500    0.626    0.786        1               0.09673                      145930
 V0427_0115_UV2       67.34         0.658      0.1853        0.500    0.628    0.788        1               0.09673                      145061
 V0427_0114_UV2       67.37         0.659      0.1859        0.500    0.630    0.790        1               0.09673                      144216
 V0427_0113_UV2       67.40         0.661      0.1865        0.501    0.631    0.793        1               0.09673                      143392
 V0427_0112_UV2       67.44         0.662      0.1869        0.502    0.633    0.794        1               0.09673                      142551
 V0427_0108_UV2       67.58         0.669      0.1887        0.505    0.640    0.804        1               0.09673                      139085
 V0427_0107_UV2       67.61         0.671      0.1892        0.506    0.642    0.807        1               0.09673                      138344
 V0427_0106_UV2       67.65         0.672      0.1893        0.507    0.643    0.809        1               0.09673                      137559
 V0427_0105_UV2       67.68         0.674      0.1897        0.508    0.645    0.811        1               0.09673                      136863
 V0427_0104_UV2       67.71         0.675      0.1900        0.509    0.646    0.813        1               0.09673                      136150
 V2782_0068_UV2       67.74         0.573      0.1083        0.485    0.550    0.662        2               0.07738                       64508
